cell_idx,format,algo,canon_name,run_id
146,nf8,muon,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-muon,wave-a-cell-146
147,nf8,sgdm,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-sgdm,wave-a-cell-147
148,nf8,lion,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-lion,wave-a-cell-148
149,nf8,lamb,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-lamb,wave-a-cell-149
150,nf8,soap,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-soap,wave-a-cell-150
151,nf8,shampoo,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-shampoo,wave-a-cell-151
152,nf8,prodigy,IGLA-SHORT-WAVE-MATRIX-nf8-h128-LR0.0001-rng1597-prodigy,wave-a-cell-152
153,posit8,adamw,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-adamw,wave-a-cell-153
154,posit8,muon,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-muon,wave-a-cell-154
155,posit8,sgdm,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-sgdm,wave-a-cell-155
156,posit8,lion,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-lion,wave-a-cell-156
157,posit8,lamb,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-lamb,wave-a-cell-157
158,posit8,soap,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-soap,wave-a-cell-158
159,posit8,shampoo,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-shampoo,wave-a-cell-159
160,posit8,prodigy,IGLA-SHORT-WAVE-MATRIX-posit8-h128-LR0.0001-rng1597-prodigy,wave-a-cell-160
161,posit16,adamw,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-adamw,wave-a-cell-161
162,posit16,muon,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-muon,wave-a-cell-162
163,posit16,sgdm,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-sgdm,wave-a-cell-163
164,posit16,lion,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-lion,wave-a-cell-164
165,posit16,lamb,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-lamb,wave-a-cell-165
166,posit16,soap,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-soap,wave-a-cell-166
167,posit16,shampoo,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-shampoo,wave-a-cell-167
