FineWeb bin: path=data/datasets/fineweb10B_sp1024/fineweb_train_000000.bin magic=20240520 version=1 num_tokens=100000000
FineWeb bin: path=data/datasets/fineweb10B_sp1024/fineweb_val_000000.bin magic=20240520 version=1 num_tokens=62021846
=== trios CPU Training (Analytical Backprop) ===
vocab=1024 dim=128 seq=64 steps=20000 seed=44 lr=0.003
Dataset: 100000000 train / 62021846 val tokens
Initial val BPB: 9.9930

  step | train_loss |    val_bpb |   best_bpb |       ms
------------------------------------------------------------
   500 |     5.0457 |     7.4776 |     7.4776 |  56992ms
  1000 |     4.7764 |     7.1002 |     7.1002 | 116390ms
  1500 |     4.6745 |     6.8238 |     6.8238 | 173074ms
  2000 |     4.5518 |     6.7040 |     6.7040 | 228166ms
  2500 |     4.7803 |     6.5761 |     6.5761 | 310272ms
  3000 |     4.8818 |     6.5376 |     6.5376 | 398355ms
  3500 |     4.4615 |     6.4623 |     6.4623 | 468104ms
  4000 |     4.1269 |     6.4200 |     6.4200 | 539058ms
  4500 |     4.3799 |     6.3905 |     6.3905 | 600337ms
  5000 |     4.3700 |     6.3274 |     6.3274 | 658886ms
  5500 |     5.1485 |     6.3698 |     6.3274 | 719790ms
  6000 |     4.6263 |     6.3288 |     6.3274 | 774932ms
  6500 |     4.5424 |     6.3084 |     6.3084 | 830955ms
  7000 |     3.7714 |     6.2712 |     6.2712 | 886541ms
  7500 |     3.8530 |     6.2716 |     6.2712 | 969695ms
  8000 |     5.0028 |     6.2618 |     6.2618 | 1072459ms
  8500 |     4.6294 |     6.2372 |     6.2372 | 1170864ms
  9000 |     3.9678 |     6.2017 |     6.2017 | 1236721ms
  9500 |     4.3567 |     6.2117 |     6.2017 | 1296897ms
 10000 |     3.8737 |     6.2377 |     6.2017 | 1358188ms
 10500 |     4.4345 |     6.1686 |     6.1686 | 1416708ms
 11000 |     4.2776 |     6.1547 |     6.1547 | 1478465ms
 11500 |     3.7037 |     6.1660 |     6.1547 | 1575294ms
 12000 |     4.0660 |     6.1629 |     6.1547 | 1655218ms
 12500 |     4.2767 |     6.1444 |     6.1444 | 1724289ms
 13000 |     4.7528 |     6.1212 |     6.1212 | 1800322ms
 13500 |     3.6269 |     6.1145 |     6.1145 | 1894507ms
 14000 |     4.0208 |     6.0471 |     6.0471 | 1975476ms
 14500 |     4.6376 |     6.0824 |     6.0471 | 2042455ms
 15000 |     4.3651 |     6.0890 |     6.0471 | 2115788ms
 15500 |     3.8654 |     6.0578 |     6.0471 | 2190740ms
 16000 |     4.0350 |     6.0443 |     6.0443 | 2255855ms
 16500 |     4.3207 |     6.0235 |     6.0235 | 2328905ms
 17000 |     5.2064 |     6.0455 |     6.0235 | 2395373ms
 17500 |     3.7289 |     6.0153 |     6.0153 | 2455228ms
 18000 |     4.1782 |     6.0331 |     6.0153 | 2515817ms
 18500 |     4.4568 |     5.9968 |     5.9968 | 2590903ms
 19000 |     4.2458 |     6.0113 |     5.9968 | 2648209ms
 19500 |     3.9625 |     6.0491 |     5.9968 | 2727386ms
 20000 |     4.9207 |     6.0338 |     5.9968 | 2794894ms

=== Training Complete ===
Time: 2800.3s | Init BPB: 9.9930 | Best BPB: 5.9968 | Delta: 3.9962
Results: .trinity/results/cpu_train_f32_seed44.json
